data.id,data.iata_type,data.airplane_id,data.airline_iata_code,data.iata_code_long,data.iata_code_short,data.airline_icao_code,data.construction_number,data.delivery_date,data.engines_count,data.engines_type,data.first_flight_date,data.icao_code_hex,data.line_number,data.model_code,data.registration_number,data.test_registration_number,data.plane_age,data.plane_class,data.model_name,data.plane_owner,data.plane_series,data.plane_status,data.production_line,data.registration_date,data.rollout_date
4258275,"ATR72-600",90,"2Z","AT76","AT7","","1022",2012-05-23 00:00:00.000,2,"TURBOPROP","2012-05-08T22:00:00.000Z","E48C21",,"ATR72-600","PR-PDA","",5,,"ATR 72","Air Lease Corporation","600","active","ATR 42/72","2000-12-04T23:00:00.000Z",""
4258276,"ATR72-600",91,"2Z","AT76","AT7","","1028",2012-06-26 00:00:00.000,2,"TURBOPROP","2012-06-07T22:00:00.000Z","E48C22",,"ATR72-600","PR-PDB","",5,,"ATR 72","Air Lease Corporation","600","active","ATR 42/72","",""
4258277,"ATR72-600",92,"2Z","AT76","AT7","","1040",2012-08-31 00:00:00.000,2,"TURBOPROP","2012-08-21T22:00:00.000Z","E48CDF",,"ATR72-600","PR-PDC","",5,,"ATR 72","","600","active","ATR 42/72","2000-12-09T23:00:00.000Z",""
4258278,"ATR72-500",93,"2Z","AT75","AT7","","562",2000-02-02 00:00:00.000,2,"TURBOPROP","1998-08-23T22:00:00.000Z","E48CF8",,"ATR72-500","PR-PDD","",19,,"ATR 72","","212A","active","ATR 42/72","2012-08-24T22:00:00.000Z","0000-00-00"
4258279,"ATR72-500",94,"2Z","AT75","AT7","","565",1999-06-28 00:00:00.000,2,"TURBOPROP","1998-09-09T22:00:00.000Z","E48D7F",,"ATR72-500","PR-PDE","",19,,"ATR 72","","212A","active","ATR 42/72","2012-12-07T23:00:00.000Z","0000-00-00"
4258280,"ATR72-500",95,"2Z","AT75","AT7","","572",1999-10-04 00:00:00.000,2,"TURBOPROP","1998-09-01T22:00:00.000Z","E48D80",,"ATR72-500","PR-PDH","",19,,"ATR 72","Aircraft International Renting Ltd","212A","active","ATR 42/72","2013-11-08T23:00:00.000Z","0000-00-00"
4258281,"ATR72-500",96,"2Z","AT75","AT7","","575",1999-10-06 00:00:00.000,2,"TURBOPROP","1999-09-09T22:00:00.000Z","E48E9C",,"ATR72-500","PR-PDJ","",18,,"ATR 72","Constellation Aircraft Leasing Ltd. Dublin","212A","active","ATR 42/72","2013-11-07T23:00:00.000Z","0000-00-00"
4258282,"ATR72-500",97,"2Z","AT75","AT7","","593",1999-11-20 00:00:00.000,2,"TURBOPROP","1999-11-03T23:00:00.000Z","E48E9D",,"ATR72-500","PR-PDK","",18,,"ATR 72","A.I.R Limited","212A","active","ATR 42/72","0000-00-00","0000-00-00"
4258283,"S340 A",98,"3B","SF34","SFF","","104",1987-10-26 00:00:00.000,2,"TURBOPROP","1987-09-23T22:00:00.000Z","49D00E",,"S340A (F)","OK-CCG","",30,,"340","","A","inactive","Saab 340","2005-06-26T22:00:00.000Z","0000-00-00"
4258284,"DHC-8-300",99,"3H","DH8C","DH3","","400",1995-04-26 00:00:00.000,2,"TURBOPROP","0000-00-00","C000D4",,"DHC-8-314(F)","C-FAID","",2016,,"DHC-8","","314B","active","Bombardier DHC-8-100","2008-12-03T23:00:00.000Z","0000-00-00"
4258285,"DHC-8-100",100,"3H","DH8A","DH1","","235",1990-10-10 01:00:00.000,2,"TURBOPROP","1990-09-25T22:00:00.000Z","C000E6",,"DHC-8-106","C-FAIV","",27,,"DHC-8","","102A","active","Bombardier DHC-8-100","2005-04-10T22:00:00.000Z","0000-00-00"
4258186,"B737-300",1,"0B","B733","733","","23653",1986-08-22 00:00:00.000,2,"JET","1986-08-02T22:00:00.000Z","4A0823",1260,"B737-377","YR-BAC","",31,,"737","Airwork Flight Operations Ltd","377","active","Boeing 737 Classic","0000-00-00",""
4258187,"B737-400",2,"0B","B734","734","","28723",1997-05-30 00:00:00.000,2,"JET","1997-05-05T22:00:00.000Z","4A0825",2886,"B737-46N","YR-BAE","",20,,"737","Monroe Aircraft Ireland Ltd","46N","active","Boeing 737 Classic","2007-12-20T23:00:00.000Z",""
4258188,"B737-300",3,"0B","B733","733","","24453",1989-06-20 00:00:00.000,2,"JET","1989-05-25T22:00:00.000Z","4A0826",1730,"B737-322","YR-BAF","",28,,"737","MSN 24453 Ltd","322","active","Boeing 737 Classic","2008-05-22T22:00:00.000Z",""
4258189,"B737-500",4,"0B","B735","735","","24778",1990-04-06 00:00:00.000,2,"JET","1990-02-20T23:00:00.000Z","4A0827",1816,"B737-5L9","YR-BAG","",27,,"737","ORIX Aviation Systems Ltd","5L9","active","Boeing 737 Classic","2009-07-13T22:00:00.000Z",""
4258190,"B737-400",5,"0B","B734","734","","27002",1992-07-16 00:00:00.000,2,"JET","1992-06-30T22:00:00.000Z","4A082A",2323,"B737-430","YR-BAJ","",25,,"737","","430","active","Boeing 737 Classic","2010-12-21T23:00:00.000Z",""
4258191,"B737-400",6,"0B","B734","734","","27005",1992-09-17 00:00:00.000,2,"JET","1992-08-27T22:00:00.000Z","4A082B",2359,"B737-430","YR-BAK","",25,,"737","","430","active","Boeing 737 Classic","2012-10-21T22:00:00.000Z",""
